scenario,value,ablation,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,p_c6_viol,p_c7_viol,p_c8_viol,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio,total_energy,avg_energy_per_slot_user,lyap_constraint_weight,lyap_energy_weight,lyap_constraint_scale,lyap_energy_scale,wolf_epsilon,episodes,warmup_ratio
f_scale,1.0,-GPD,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,12.103742628865273,0.020172904381442123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.0,-Lyapunov,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,12.103742628865273,0.020172904381442123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.0,-Priority,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42666666666666675,0.25,0.11833333333333333,0.1,0.105,0.10333333333333333,0.09,0.12333333333333334,0.11,2.702827953403982,0.004504713255673303,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.0,Random,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966666666666666,0.12833333333333333,0.12333333333333334,0.12833333333333333,0.12333333333333334,0.12,0.12666666666666668,0.13333333333333333,0.11666666666666667,16.944933794270284,0.028241556323783806,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.2,Full,1,15,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,13.577936441886738,0.02262989406981123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.2,-VQ,1,15,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,13.577936441886738,0.02262989406981123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.2,-GPD,1,15,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,13.577936441886738,0.02262989406981123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.2,-Lyapunov,1,15,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,13.577936441886738,0.02262989406981123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.2,-Priority,1,15,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42666666666666675,0.25,0.11833333333333333,0.1,0.105,0.10166666666666667,0.09,0.12666666666666668,0.10833333333333334,3.3835384363136876,0.005639230727189479,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.2,Random,1,15,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966666666666666,0.12833333333333333,0.12333333333333334,0.12833333333333333,0.12333333333333334,0.12,0.12666666666666668,0.13333333333333333,0.11666666666666667,18.65657967420938,0.031094299457015633,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.4,Full,1,15,1.0,1.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,15.320165493639376,0.025533609156065628,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.4,-VQ,1,15,1.0,1.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,15.320165493639376,0.025533609156065628,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.4,-GPD,1,15,1.0,1.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,15.320165493639376,0.025533609156065628,20.0,1.0,1e+24,1e+25,0.1,80,0.5
